State,Year,Sex,Spec_Nd,Age_Bin,Race,Adopted,Numbers
Alabama,2010,girl,specYes,under9,white,adopted,0

Alabama,2010,girl,specYes,under9,black,notAdopted,2

Alabama,2010,girl,specYes,under9,black,adopted,0

Alabama,2010,girl,specYes,under9,hispanic,notAdopted,1

Alabama,2010,girl,specYes,under9,hispanic,adopted,0

Alabama,2010,girl,specYes,under9,other,notAdopted,1

Alabama,2010,girl,specYes,under9,other,adopted,0

Alabama,2010,girl,specYes,over9,white,notAdopted,10

Alabama,2010,girl,specYes,over9,white,adopted,0

Alabama,2010,girl,specYes,over9,black,notAdopted,11

Alabama,2010,girl,specYes,over9,black,adopted,0

Alabama,2010,girl,specYes,over9,hispanic,notAdopted,0

Alabama,2010,girl,specYes,over9,hispanic,adopted,0

Alabama,2010,girl,specYes,over9,other,notAdopted,0

Alabama,2010,girl,specYes,over9,other,adopted,0

Alabama,2011,boy,specNo,under9,white,notAdopted,178

Alabama,2011,boy,specNo,under9,white,adopted,82

Alabama,2011,boy,specNo,under9,black,notAdopted,95

Alabama,2011,boy,specNo,under9,black,adopted,53

Alabama,2011,boy,specNo,under9,hispanic,notAdopted,17

Alabama,2011,boy,specNo,under9,hispanic,adopted,11

Alabama,2011,boy,specNo,under9,other,notAdopted,28

Alabama,2011,boy,specNo,under9,other,adopted,14

Alabama,2011,boy,specNo,over9,white,notAdopted,186

Alabama,2011,boy,specNo,over9,white,adopted,57

Alabama,2011,boy,specNo,over9,black,notAdopted,157

Alabama,2011,boy,specNo,over9,black,adopted,35

Alabama,2011,boy,specNo,over9,hispanic,notAdopted,18

Alabama,2011,boy,specNo,over9,hispanic,adopted,7

Alabama,2011,boy,specNo,over9,other,notAdopted,22

Alabama,2011,boy,specNo,over9,other,adopted,0

Alabama,2011,boy,specYes,under9,white,notAdopted,6

Alabama,2011,boy,specYes,under9,white,adopted,0

Alabama,2011,boy,specYes,under9,black,notAdopted,1

Alabama,2011,boy,specYes,under9,black,adopted,0

Alabama,2011,boy,specYes,under9,hispanic,notAdopted,0

Alabama,2011,boy,specYes,under9,hispanic,adopted,0

Alabama,2011,boy,specYes,under9,other,notAdopted,0

Alabama,2011,boy,specYes,under9,other,adopted,0

Alabama,2011,boy,specYes,over9,white,notAdopted,10

Alabama,2011,boy,specYes,over9,white,adopted,0

Alabama,2011,boy,specYes,over9,black,notAdopted,2

Alabama,2011,boy,specYes,over9,black,adopted,0

Alabama,2011,boy,specYes,over9,hispanic,notAdopted,0

